,RPM,Depth,Coolant,Tool_condition,Tool_size,Tool_No.
587,300,20,0,1,5,8
588,300,20,0,1,5,8
589,300,20,0,1,5,8
590,300,20,0,1,5,8
591,300,20,0,1,5,8
592,300,20,0,1,5,8
593,300,20,0,1,5,8
594,300,20,1,1,5,8
595,300,20,1,1,5,8
596,300,20,1,1,5,8
597,300,20,1,1,5,8
598,300,20,1,1,5,8
599,300,20,1,1,5,8
600,300,20,1,1,5,8
601,300,20,1,1,5,8
602,300,20,1,1,5,8
603,300,20,1,1,5,8
604,300,20,1,1,5,8
605,300,20,1,1,5,8
606,300,20,1,1,5,8
607,300,20,1,1,5,8
608,400,20,0,1,5,8
609,400,20,0,1,5,8
610,400,20,0,1,5,8
611,400,20,0,1,5,8
612,400,20,0,1,5,8
613,400,20,0,1,5,8
614,400,20,0,1,5,8
615,400,20,0,1,5,8
616,400,20,0,1,5,8
617,400,20,0,1,5,8
618,400,20,1,1,5,8
619,400,20,1,1,5,8
620,400,20,1,1,5,8
621,400,20,1,1,5,8
622,400,20,1,1,5,8
623,400,20,1,1,5,8
624,400,20,1,1,5,8
625,400,20,1,1,5,8
626,400,20,1,1,5,8
627,400,20,1,1,5,8
628,400,20,1,1,5,8
629,200,12,0,1,5,8
630,200,12,0,1,5,8
631,200,12,0,1,5,8
632,200,12,0,1,5,8
633,200,12,0,1,5,8
634,200,12,0,1,5,8
635,200,12,0,1,5,8
636,200,12,0,1,5,8
637,200,12,0,1,5,8
638,200,12,0,1,5,8
639,200,12,0,1,5,8
640,200,12,0,1,5,8
641,200,12,0,1,5,8
642,200,12,0,1,5,8
643,200,12,0,1,5,8
644,200,12,0,1,5,8
645,200,12,0,1,5,8
646,200,12,0,1,5,8
647,200,12,0,1,5,8
648,200,12,0,1,5,8
649,200,12,0,1,5,8
650,200,12,0,1,5,8
651,300,12,0,1,5,8
652,300,12,0,1,5,8
653,300,12,0,1,5,8
654,300,12,0,1,5,8
655,300,12,0,1,5,8
656,300,12,0,1,5,8
657,300,12,0,1,5,8
658,300,12,0,1,5,8
659,300,12,0,1,5,8
660,300,12,0,1,5,8
661,300,12,0,1,5,8
662,300,12,0,1,5,8
663,200,12,0,1,5,9
664,200,12,0,1,5,9
665,200,12,0,1,5,9
666,200,12,0,1,5,9
667,200,12,0,1,5,9
668,200,12,0,1,5,9
669,200,12,0,1,5,9
670,200,12,0,1,5,9
671,200,12,0,1,5,9
672,200,12,0,1,5,9
673,200,12,0,1,5,9
674,200,12,0,1,5,9
675,200,12,0,1,5,9
676,200,12,0,1,5,9
677,200,12,0,1,5,9
678,200,12,0,1,5,9
679,200,12,0,1,5,9
680,200,12,0,1,5,9
681,200,12,0,1,5,9
682,200,12,0,1,5,9
683,200,12,0,1,5,9
684,200,12,0,1,5,9
685,200,12,0,1,5,9
686,200,12,0,1,5,9
687,200,20,0,0,4,10
688,200,20,0,0,4,10
689,200,20,0,0,4,10
690,200,20,0,0,4,10
691,200,20,0,0,4,10
692,200,20,0,0,4,10
693,200,20,0,0,4,10
694,200,20,0,0,4,10
695,200,20,0,0,4,10
696,200,20,0,0,4,10
697,300,20,0,0,4,10
698,300,20,0,0,4,10
699,300,20,0,0,4,10
700,300,20,0,0,4,10
701,300,20,0,0,4,10
702,300,20,0,0,4,10
703,300,20,0,0,4,10
704,300,20,0,0,4,10
705,300,20,0,0,4,10
706,300,20,0,0,4,10
707,400,20,0,0,4,10
708,400,20,0,0,4,10
709,400,20,0,0,4,10
710,400,20,0,0,4,10
711,400,20,0,0,4,10
712,400,20,0,0,4,10
713,400,20,0,0,4,10
714,400,20,0,0,4,10
715,400,20,0,0,4,10
716,400,20,0,0,4,10
717,500,20,0,0,4,10
718,500,20,0,0,4,10
719,500,20,0,0,4,10
720,500,20,0,0,4,10
721,500,20,0,0,4,10
722,500,20,0,0,4,10
723,500,20,0,0,4,10
724,500,20,0,0,4,10
725,500,20,0,0,4,10
726,500,20,0,0,4,10
727,200,20,0,0,4,11
728,200,20,0,0,4,11
729,200,20,0,0,4,11
730,200,20,0,0,4,11
731,200,20,0,0,4,11
732,200,20,0,0,4,11
733,200,20,0,0,4,11
